Run,Date and plot,Date,Plot,Volume mL,PO4-P mg/L,PO4-P ug,NO3-N mg/L,NO3-N ug,NH4-N mg/L,NH4-N ug
10,16NOV21 3,11/16/21,3,1320,0.06,79.2,0.641006714,846.1288622,BDL,BDL
10,16NOV21 4,11/16/21,4,1160,0.055,63.8,0.535695455,621.4067278,BDL,BDL
10,16NOV21 5,11/16/21,5,480,0.02,9.6,0.122605364,58.85057471,BDL,BDL
10,16NOV21 6,11/16/21,6,,0.177,0,0.395092973,0,0.11,0
11,1DEC21 1,12/1/21,1,690,0.198,136.62,1.565319274,1080.070299,0.098,67.62
11,1DEC21 2,12/1/21,2,3660,0.01,36.6,0.270348983,989.4772784,0.165,603.9
11,1DEC21 3,12/1/21,3,2030,0.013,26.39,0.474817976,963.8804921,0.049,99.47
11,1DEC21 4,12/1/21,4,2300,0.058,133.4,0.53427065,1228.822496,0.062,142.6
11,1DEC21 5,12/1/21,5,1280,0.033,42.24,0.392601891,502.530421,0.072,92.16
11,1DEC21 6,12/1/21,6,,0.188,0,0.203263871,0,0.073,0
11,14DEC21 1,12/14/21,1,780,0.098,76.44,1.087555444,848.2932463,0.087,67.86
11,14DEC21 2,12/14/21,2,2260,0.013,29.38,0.534002845,1206.846431,0.049,110.74
11,14DEC21 3,12/14/21,3,1590,0.008,12.72,0.197907775,314.6733618,0.042,66.78
11,14DEC21 4,12/14/21,4,1230,0.026,31.98,0.438262616,539.0630178,0.05,61.5
11,14DEC21 5,12/14/21,5,800,0.043,34.4,0.225625575,180.5004603,0.06,48
11,14DEC21 6,12/14/21,6,,0.203,0,0.143275588,0,0.063,0
11,28DEC21 1,12/28/21,1,510,0.063,32.13,1.277429074,651.4888275,0.066,33.66
11,28DEC21 2,12/28/21,2,3000,0.005,15,0.672457946,2017.373839,0.05,150
11,28DEC21 3,12/28/21,3,780,0.006,4.68,0.30837727,240.5342707,0.056,43.68
11,28DEC21 4,12/28/21,4,540,0.029,15.66,0.629341367,339.8443384,0.072,38.88
11,28DEC21 5,12/28/21,5,630,0.108,68.04,0.609925517,384.2530756,0.08,50.4
11,28DEC21 6,12/28/21,6,,xx,xx,xx,xx,xx,xx
11,12JAN22 1,1/12/22,1,380,0.173,65.74,2.989773203,1136.113817,0.09,34.2
11,12JAN22 2,1/12/22,2,500,0.087,43.5,2.127441627,1063.720813,0.106,53
11,12JAN22 3,1/12/22,3,10,0.012,0.12,0.644740146,6.447401456,0.368,3.68
11,12JAN22 4,1/12/22,4,390,0.113,44.07,2.010410913,784.0602561,0.093,36.27
11,12JAN22 5,1/12/22,5,220,0.255,56.1,1.662130722,365.6687589,0.083,18.26
11,12JAN22 6,1/12/22,6,1500,0.063,94.5,0.166976316,250.464474,0.137,205.5
11,25JAN22 1,1/25/22,1,130,0.136,17.68,3.831216001,498.0580802,1.428,185.64
11,25JAN22 2,1/25/22,2,110,0.287,31.57,3.740162357,411.4178592,0.308,33.88
11,25JAN22 3,1/25/22,3,10,0.048,0.48,6.812285547,68.12285547,0.762,7.62
11,25JAN22 4,1/25/22,4,15,0.969,14.535,8.0609256,120.913884,2.881,43.215
11,25JAN22 5,1/25/22,5,10,0.405,4.05,3.069445142,30.69445142,0.649,6.49
11,25JAN22 6,1/25/22,6,140,0.144,20.16,0.539358942,75.5102519,0.268,37.52
11,8FEB22 1,2/8/22,1,4741,0.073,346.093,0.373989455,1773.084007,0.263,1246.883
11,8FEB22 2,2/8/22,2,7180,0.013,93.34,0.18987363,1363.29266,0.061,437.98
11,8FEB22 3,2/8/22,3,,xx,xx,xx,xx,xx,xx
11,8FEB22 4,2/8/22,4,2130,0.101,215.13,0.759762323,1618.293748,0.069,146.97
11,8FEB22 5,2/8/22,5,370,0.25,92.5,1.310235166,484.7870115,0.061,22.57
11,8FEB22 6,2/8/22,6,7890,0.019,149.91,0.066013892,520.8496108,0.083,654.87
11,22FEB22 1,2/22/22,1,380,0.073,27.74,0.90518035,343.9685329,0.071,26.98
11,22FEB22 2,2/22/22,2,950,0.033,31.35,0.255887522,243.0931459,0.067,63.65
11,22FEB22 3,2/22/22,3,150,0.171,25.65,4.302150808,645.3226211,0.135,20.25
11,22FEB22 4,2/22/22,4,610,0.36,219.6,2.34021257,1427.529668,0.06,36.6
11,22FEB22 5,2/22/22,5,,0.884,0,1.274617123,0,0.336,0
11,22FEB22 6,2/22/22,6,250,0.049,12.25,0.303824588,75.95614696,0.138,34.5
11,8MAR22 1,3/8/22,1,750,0.048,36,0.565603816,424.2028622,0.061,45.75
11,8MAR22 2,3/8/22,2,1910,0.241,460.31,0.064005356,122.2502301,0.052,99.32
11,8MAR22 3,3/8/22,3,220,0.018,3.96,2.774190309,610.3218679,0.057,12.54
11,8MAR22 4,3/8/22,4,780,0.099,77.22,1.218110302,950.1260357,0.072,56.16
11,8MAR22 5,3/8/22,5,560,0.181,101.36,1.19641811,669.9941418,0.076,42.56
11,8MAR22 6,3/8/22,6,2210,0.014,30.94,0.094535108,208.9225877,0.053,117.13
11,22MAR22 1,,1,,0.052,,1.201238597,,0.061,
11,22MAR22 2,,2,,0.127,,0.132697297,,0.067,
11,22MAR22 3,,3,,0.018,,1.939040924,,0.068,
11,22MAR22 4,,4,,0.041,,1.165218847,,0.069,
11,22MAR22 5,,5,,0.115,,0.656389656,,0.092,
11,22MAR22 6,,6,,0.017,,0.071369989,,0.064,
11,5APR22 1,,1,,0.022,,1.456456607,,0.178,
11,5APR22 2,,2,,0.145,,0.888308645,,0.078,
11,5APR22 3,,3,,0.035,,1.520194159,,0.076,
11,5APR22 4,,4,,0.03,,0.878533769,,0.064,
11,5APR22 5,,5,,0.074,,0.958473512,,0.053,
11,5APR22 6,,6,,0.02,,0.071102184,,0.098,
11,19APR22 1,,1,,0.047,,1.699221692,,0.049,
11,19APR22 2,,2,,0.148,,1.058230814,,0.064,
11,19APR22 3,,3,,0.026,,1.762021927,,0.072,
11,19APR22 4,,4,,0.023,,1.127324462,,0.093,
11,19APR22 5,,5,,0.079,,0.712628672,,0.072,
11,19APR22 6,,6,,0.046,,0.069093648,,0.125,
