basket.id,category,date,method,weight,wt.kg.ha,wt.Mg.ha
LB07,leaves,08/08/2017,bb.sample.wt,7.878,406.9214876,0.406921488
LB08,leaves,08/08/2017,bb.sample.wt,11.031,569.7830579,0.569783058
LB09,leaves,08/08/2017,bb.sample.wt,13.418,693.0785124,0.693078512
LB10,leaves,08/08/2017,bb.sample.wt,21.514,1111.260331,1.111260331
LB11,leaves,08/08/2017,bb.sample.wt,25.932,1339.46281,1.33946281
LB12,leaves,08/08/2017,bb.sample.wt,22.409,1157.489669,1.157489669
LB13,leaves,08/08/2017,bb.sample.wt,18.08,933.8842975,0.933884298
LB14,leaves,08/08/2017,bb.sample.wt,9.631,497.4690083,0.497469008
LB15,leaves,08/08/2017,bb.sample.wt,7.788,402.2727273,0.402272727
LB16,leaves,08/08/2017,bb.sample.wt,3.352,173.1404959,0.173140496
LB17,leaves,08/08/2017,bb.sample.wt,5.973,308.5227273,0.308522727
LB18,leaves,08/08/2017,bb.sample.wt,5.822,300.7231405,0.30072314
LB19,leaves,08/08/2017,bb.sample.wt,19.691,1017.097107,1.017097107
LB20,leaves,08/08/2017,bb.sample.wt,8.293,428.357438,0.428357438
LB01,leaves,08/22/2017,bb.sample.wt,4.518,233.3677686,0.233367769
LB02,leaves,08/22/2017,bb.sample.wt,3.379,174.535124,0.174535124
LB03,leaves,08/22/2017,bb.sample.wt,9.952,514.0495868,0.514049587
LB04,leaves,08/22/2017,bb.sample.wt,5.272,272.3140496,0.27231405
LB05,leaves,08/22/2017,bb.sample.wt,4.907,253.4607438,0.253460744
LB06,leaves,08/22/2017,bb.sample.wt,8.781,453.5640496,0.45356405
LB07,leaves,08/22/2017,bb.sample.wt,4.86,251.0330579,0.251033058
LB08,leaves,08/22/2017,bb.sample.wt,6.742,348.2438017,0.348243802
LB09,leaves,08/22/2017,bb.sample.wt,5.784,298.7603306,0.298760331
LB10,leaves,08/22/2017,bb.sample.wt,11.261,581.6632231,0.581663223
LB11,leaves,08/22/2017,bb.sample.wt,9.443,487.7582645,0.487758264
LB12,leaves,08/22/2017,bb.sample.wt,5.503,284.2458678,0.284245868
LB13,leaves,08/22/2017,bb.sample.wt,6.063,313.1714876,0.313171488
LB14,leaves,08/22/2017,bb.sample.wt,9.131,471.642562,0.471642562
LB15,leaves,08/22/2017,bb.sample.wt,5.922,305.8884298,0.30588843
LB16,leaves,08/22/2017,bb.sample.wt,7.015,362.3450413,0.362345041
LB17,leaves,08/22/2017,bb.sample.wt,3.427,177.0144628,0.177014463
LB18,leaves,08/22/2017,bb.sample.wt,3.733,192.8202479,0.192820248
LB19,leaves,08/22/2017,bb.sample.wt,7.015,362.3450413,0.362345041
LB20,leaves,08/22/2017,bb.sample.wt,7.074,365.392562,0.365392562
LB01,leaves,12/05/2017,bb.sample.wt,0.234,12.08677686,0.012086777
LB02,leaves,12/05/2017,bb.sample.wt,1.529,78.97727273,0.078977273
LB03,leaves,12/05/2017,bb.sample.wt,0.031,1.601239669,0.00160124
LB04,leaves,12/05/2017,bb.sample.wt,0.084,4.338842975,0.004338843
