date,plot,installed_resin,nh4_ugN.day_resin,no3_ugN.day_resin
2019-05-16,5,2019-02-13,0.824347826,24.70523584
2019-05-16,6,2019-02-13,0.464347826,1.746348446
2019-05-16,6,2019-02-13,0.928695652,6.692413679
2019-05-16,6,2019-02-13,0.25826087,0.693490147
,Blank,,0,0
2019-08-15,1,2019-05-16,0.404175824,3.315860759
2019-08-15,1,2019-05-16,0.313186813,1.27807006
2019-08-15,1,2019-05-16,0.646813187,2.8657317940000002
2019-08-15,2,2019-05-16,0.649450549,2.805546542
2019-08-15,2,2019-05-16,0,3.835943262
2019-08-15,2,2019-05-16,0.508351648,4.48427392
2019-08-15,3,2019-05-16,0.529450549,4.212967627
2019-08-15,3,2019-05-16,0.412087912,2.864156264
2019-08-15,3,2019-05-16,1.990549451,7.775083749
2019-08-15,4,2019-05-16,0.612527473,2.703294635
2019-08-15,4,2019-05-16,0.33956044,1.365827089
2019-08-15,4,2019-05-16,4.55010989,7.833693471
2019-08-15,5,2019-05-16,0.487252747,6.488033167
2019-08-15,5,2019-05-16,10.20857143,15.61303115
2019-08-15,5,2019-05-16,1.133406593,5.857506
2019-08-15,6,2019-05-16,0.305274725,5.535782743
2019-08-15,6,2019-05-16,1.641098901,14.74522914
2019-08-15,6,2019-05-16,0.93032967,7.90679807
,Blank,,,
,Blank,,,
2019-12-05,1,2019-08-15,0.334285714,2.423519869
2019-12-05,2,2019-08-15,0.366428571,3.980271671
2019-12-05,2,2019-08-15,0.683571429,4.850368045
2019-12-05,2,2019-08-15,0.197142857,1.800230293
2019-12-05,4,2019-08-15,0.853928571,5.473529608
2019-12-05,4,2019-08-15,0.768214286,9.548274006
2019-12-05,4,2019-08-15,1.316785714,10.71817407
2019-12-05,5,2019-08-15,0.9675,7.740747039
2019-12-05,5,2019-08-15,1.048928571,26.42688914
2019-12-05,5,2019-08-15,1.292142857,22.0431242
2019-12-05,3,2019-08-15,0.805714286,7.213850367
2019-12-05,3,2019-08-15,0.248571429,12.1204156
2019-12-05,3,2019-08-15,1.090714286,19.16605843
2019-12-05,6,2019-08-15,0.620357143,8.452364773
2019-12-05,6,2019-08-15,0.786428571,23.34244422
2019-12-05,6,2019-08-15,1.247142857,21.61671681
2019-12-05,1,2019-08-15,0.558214286,3.201191705
2019-12-05,1,2019-08-15,0,2.572653645
,Blank,,,
,Blank,,,
2020-02-28,1,2019-12-05,0,5.156521042
2020-02-28,1,2019-12-05,0,1.905777018
2020-02-28,1,2019-12-05,0.160941176,1.256253506
2020-02-28,2,2019-12-05,0.366117647,11.61013507
2020-02-28,2,2019-12-05,0.317176471,5.632134829
2020-02-28,2,2019-12-05,0,4.771770202
2020-02-28,3,2019-12-05,0.206117647,20.65773965
2020-02-28,3,2019-12-05,0.114823529,23.9753119
2020-02-28,3,2019-12-05,0.498823529,32.14027578
2020-02-28,4,2019-12-05,0.548705882,6.214830109
2020-02-28,4,2019-12-05,0.003764706,7.500785052
2020-02-28,4,2019-12-05,0.293647059,16.58727507
2020-02-28,5,2019-12-05,0,6.172427401
2020-02-28,5,2019-12-05,0.001882353,4.229523588
2020-02-28,5,2019-12-05,1.076705882,24.74872167
2020-02-28,6,2019-12-05,0.513882353,4.68110266
2020-02-28,6,2019-12-05,0.255058824,8.41488583
2020-02-28,6,2019-12-05,0.090352941,13.75274196
,Blank,,,
,Blank,,,
2020-05-28,1,2020-02-28,0.186666667,3.30433905
2020-05-28,1,2020-02-28,0.249777778,7.209936778
2020-05-28,1,2020-02-28,0.242666667,5.408375325
2020-05-28,2,2020-02-28,0.330666667,3.356750795
2020-05-28,2,2020-02-28,0.127111111,3.758697204
2020-05-28,2,2020-02-28,1.223111111,3.718465653
2020-05-28,3,2020-02-28,0.544888889,15.75840308
2020-05-28,3,2020-02-28,0.184888889,4.060987478
2020-05-28,3,2020-02-28,0.226666667,15.17135463
2020-05-28,4,2020-02-28,2.168888889,7.58733825
2020-05-28,4,2020-02-28,0.140444444,10.9145613
2020-05-28,4,2020-02-28,0.045333333,2.573896494
2020-05-28,5,2020-02-28,0,2.524991169
2020-05-28,5,2020-02-28,1.549333333,2.264593381
2020-05-28,5,2020-02-28,0.195555556,3.337557761
2020-05-28,6,2020-02-28,0.132444444,5.596983787
2020-05-28,6,2020-02-28,0.072888889,6.760745979
2020-05-28,6,2020-02-28,0.172444444,7.990945594
,Blank,,,
,Blank,,,
2020-09-02,1,2020-05-28,0.131134021,2.418972871
2020-09-02,1,2020-05-28,0,1.331145686
2020-09-02,1,2020-05-28,8.24742e-4,1.687818758
2020-09-02,2,2020-05-28,0.550927835,1.251694747
2020-09-02,2,2020-05-28,0.038762887,0.821906263
