date,plot,volume_lysimiter.surface.chemistry,npoc_ug.mL_lysimiter.surface.chemistry,npoc_ug_lysimiter.surface.chemistry,tn_ug.mL_lysimiter.surface.chemistry,tn_ug_lysimiter.surface.chemistry,volume_m_l_lysimiter.surface.chemistry,po4_ugP.mL_lysimiter.surface.chemistry,po4_ugP_lysimiter.surface.chemistry,no3_ugN.mL_lysimiter.surface.chemistry,no3_ugN_lysimiter.surface.chemistry,nh4_ugN.mL_lysimiter.surface.chemistry,nh4_ugN_lysimiter.surface.chemistry
2018-08-28,2,2560,5.55,14208,0.3638,931.328,2560,0.01703679,43.6141824,0.015047476,38.52153968,0.04507,115.3792
2018-08-28,3,270,28.62,7727.4,2.736,738.72,270,0.22699737,61.2892899,0.641370665,173.1700796,0.1816925,49.056975
2018-08-28,4,2020,15.896,32109.92,0.9658,1950.916,2020,0.06560976,132.5317152,0,0,0.11127125,224.767925
2018-08-28,5,1030,23.3,23999,1.2772,1315.516,1030,0.04889648,50.3633744,0,0,0,0
2018-08-28,6,3940,90.28,355703.2,0.7886,3107.084,3940,0,0,0,0,1.62124,6387.6856
2018-09-11,1,1050,5.212,5472.6,0.7708,809.34,1050,0.07448869,78.2131245,0.283705011,297.8902617,0,0
2018-09-11,2,770,4.722,3635.94,1.0798,831.446,770,0.09642487,74.2471499,0.370263366,285.1027916,0.73504,565.9808
2018-09-11,3,90,30.06,2705.4,3.306,297.54,90,0.29959568,26.9636112,0.641370665,57.72335986,0.0814675,7.332075
2018-09-11,4,1650,11.916,19661.4,0.9258,1527.57,1650,0.12985143,214.2548595,0.108138537,178.4285862,0.10626,175.329
2018-09-11,5,510,23.28,11872.8,1.3724,699.924,510,0.08650136,44.1156936,0.012597712,6.424832959,0,0
2018-09-11,6,2550,53.42,136221,0.407,1037.85,2550,0.03270549,83.3989995,0,0,0.05060875,129.0523125
2018-09-25,1,530,7.944,4210.32,1.857,984.21,530,0.15074303,79.8938059,1.555949507,824.6532385,0.15874625,84.1355125
2018-09-25,2,2020,5.73,11574.6,0.6774,1368.348,2020,0.06560976,132.5317152,0.288604541,582.981172,0.0751375,151.77775
2018-09-25,3,200,26.66,5332,2.868,573.6,200,0.15648822,31.297644,1.159087616,231.8175233,0.208595,41.719
2018-09-25,4,1150,18.272,21012.8,1.664,1913.6,1150,0.08284533,95.2721295,0.119570773,137.5063885,0.0783025,90.047875
2018-09-25,5,450,19.396,8728.2,1.7872,804.24,450,0.05777541,25.9989345,0.215928186,97.16768381,0.30671,138.0195
2018-09-25,6,1920,40.44,77644.8,0.5112,981.504,1920,0.03427236,65.8029312,0,0,0,0
2018-10-10,1,6740,5.742,38701.08,0.7576,5106.224,6740,0.01755908,118.3481992,0.328617365,2214.88104,0,0
2018-10-10,2,370,5.966,2207.42,5.926,2192.62,370,0.33041079,122.2519923,0.634021371,234.5879072,5.5822375,2065.427875
2018-10-10,3,1340,12.974,17385.16,1.4786,1981.324,1340,0.05725312,76.7191808,0.496017956,664.6640616,0.1226125,164.30075
2018-10-10,4,3170,15.194,48164.98,1.5776,5000.992,3170,0.10112548,320.5677716,0.226543834,718.1439522,0.29062125,921.2693625
2018-10-10,5,2100,27.22,57162,1.7644,3705.24,2100,0.14499784,304.495464,0.11140489,233.9502692,0.23839875,500.637375
2018-10-10,6,4680,5.548,25964.64,0.3418,1599.624,4680,0.02852717,133.5071556,0.023213359,108.6385199,0.0139475,65.2743
2018-10-23,1,1580,6.66,10522.8,0.847,1338.26,1580,0.14081952,222.4948416,0.407826425,644.365752,0,0
