"","treatment","hurricane","session","date","plot","dlen.mm.cm2.day","mortLength.mm.cm2.day","len.mm.cm2","prodSA.m2.m2.day","morSA.m2.m2.day","SA.m2.m2","stock.newRMLg.m2","prod2.newRMLg.m2.day","mort.newRMLg.m2.day","lndlen.mm.cm2.day","lnmortLength.mm.cm2.day","lnlen.mm.cm2","lnprodSA.m2.m2.day","lnmorSA.m2.m2.day","lnSA.m2.m2","lnstock.newRMLg.m2","lnprod2.newRMLg.m2.day","lnmort.newRMLg.m2.day"
"53","Warming","after",22,2018-01-18,2,27.3520521094734,1.22285134542706,1578.0409111489,0.252217879780517,0.0115884020039334,20.8289032458086,706.402364767492,12.406115667432,0.133194399613891,3.30774731981579,-4.1579835020049,7.35573271735991,-1.39958075223313,-6.48531916120248,3.00610106745676,6.208790503116,2.38810101495342,-5.26638171869986
"54","Warming","after",23,2018-01-31,2,19.4722774652596,0.743187817605675,1810.6779582294,0.197294003612849,0.00645350778362715,24.0286738048954,805.579608577133,9.82411415272034,0.072434833644574,2.75955452544341,-4.40696619968165,7.50129301650876,-1.99310876585879,-6.77630339002039,3.12630455241275,6.30915629731881,1.82926728115513,-5.57078556076529
"55","Warming","after",24,2018-02-15,2,17.5811635298564,0.606536992945325,2065.29735628307,0.147010444419399,0.0109322467918149,26.4708442142504,837.245598215455,5.17226717660963,0.260573272401446,2.81817907978489,-4.50855015896506,7.6326532550501,-2.00125491981673,-6.51433421470083,3.21850376622861,6.35630963103738,1.56310577936812,-4.93093625327139
"56","Warming","after",25,2018-02-27,2,59.5788709873393,8.66208276832954,2574.46523847317,0.409558410149603,0.0708565761695857,30.4761114745051,880.123926365267,12.9146935743822,1.06362963653786,4.08701365372059,2.09637145339748,7.85326874466939,-0.897581007750206,-2.75106977688685,3.37110959913287,6.45070079309242,2.54447866291012,-0.225792598490976
"57","Warming","after",26,2018-03-16,2,26.4112147982803,1.80938235544218,3164.90921710128,0.210892275968883,0.0124013713513573,36.0770242712137,968.497878403871,7.44640003899976,0.103263349536312,3.26979082826668,-3.96209000555201,8.05984030446948,-1.56949784408168,-6.45155885242509,3.55683862109225,6.64982517919671,1.98898328938057,-5.39359093593696
"58","Warming","after",27,2018-04-04,2,29.0821138193769,1.8212768052856,3546.56093529856,0.259601932316911,0.0117401093867746,40.4079497475553,1047.90832892086,10.4360517370036,0.105665679710553,3.34749927666378,0.584241152981263,8.17325860980689,-1.34824413841223,-4.50250983581121,3.67421863455494,6.77332114358373,2.34478097609325,-2.47684486939361
"59","Warming","after",28,2018-04-18,2,24.9616176850502,5.76606775118776,3815.29863437263,0.305569023086005,0.0532891284814199,44.5130435333924,1140.71021643229,12.2550002667277,0.935727654570855,3.16673071334541,1.50993715082578,8.24669128234924,-1.25016479157639,-3.34681579145186,3.78421745297491,6.91945501649634,2.44392554259049,-0.952065157887685
"60","Warming","after",29,2018-05-02,2,13.2086695875175,4.87439857534283,3931.97842854308,0.0645539709162796,0.034909593705916,45.9753228043215,1171.16785958262,4.53131351658977,0.446870739787314,2.58069155479332,1.46549228612044,8.27670675575095,-2.76049409936634,-3.45772156612381,3.81954126925316,6.96418606135591,1.42496670209633,-1.0390894020551
"61","Warming","after",30,2018-05-16,2,12.6653988041248,3.62017917476514,4008.64480820105,0.123568812453446,0.036078081840213,46.844003281311,1192.5690503371,4.40059785321226,0.653654365557648,2.45146841406465,1.22744934427206,8.29604373449614,-2.20281331797587,-3.43053400579207,3.83870045071315,6.9863536761854,1.41646478608597,-0.719624725989524
"62","Warming","after",31,2018-05-30,2,21.6729478478296,10.1370703555231,4161.95290686885,0.129290056037254,0.0759165587837949,48.9952414460763,1254.61077553616,7.9175924227543,0.74913181159617,3.0656142528301,2.26749809408818,8.3335523639913,-2.0558540973915,-2.66002255478354,3.88438356273098,7.04302720101278,2.05664441325302,-0.466206582335251
"63","Warming","after",32,2018-06-14,2,7.18337418178381,10.5327009687578,4105.409648082,0.0380884230918012,0.0817229252552912,48.7556982738818,1240.68334243871,2.11290773652664,1.88182459652519,1.88718940219498,2.2361536644097,8.31973817224257,-3.26535429176876,-2.79984510260113,3.88058380976867,7.03851539870771,0.726749801663339,-0.375022621917558
"64","Warming","after",33,2018-06-27,2,15.844591658672,5.48457928876675,4240.08980889077,0.108465264711552,0.0447316803219225,50.3215715369776,1271.52741314151,5.23043460871984,0.4701958546331,2.75555527437635,1.13335151917091,8.3518077129398,-2.22849517098348,-3.58561898457981,3.91321307370649,7.06872427006167,1.65327300389035,-1.19938490171405
"78","Control","after",15,2017-09-21,3,2.36026787064031,3.66807553180001,1311.59639880952,0.0189149864800893,0.0552309157470714,15.3242228178719,335.313199876391,0.536682199950405,1.50572579727419,-3.82919844524972,0.993961351105606,6.6896811295387,-6.24117700407261,-3.15384851610502,2.41485378018897,5.74781559788428,-4.56972459841709,0.0878003868606166
"79","Control","after",16,2017-10-20,3,14.2354899848828,11.0804349584278,1358.92222420634,0.0973750721091167,0.105326968848452,15.5081766816871,327.662745289397,3.20557522138319,1.80953049959083,2.52172472758526,1.98395066182009,6.80716010856463,-2.34956831995968,-3.06826288196251,2.49617979673993,5.7480857854063,1.12865694398509,-0.953746852070171
"80","Control","after",17,2017-11-05,3,31.2789730410682,2.94651127488032,1868.90653599773,0.373411355477531,0.0245519458697098,22.0798733549903,450.939837035314,12.9398945333317,0.273447511004423,3.01619915361516,1.07872040793253,7.08518478732277,-1.52889601963988,-3.70533895290349,2.76767267044828,5.99499215988187,2.00148657099215,-1.34929868979442
"81","Control","after",18,2017-11-22,3,38.3607166099772,0.776307218442931,2432.67267687074,0.335549212990694,0.00980329678408859,28.3057669512606,557.2811471957,13.5596011521208,0.209721281518007,3.62748153561822,-0.260501541358815,7.53680474703773,-1.0934210388906,-4.70330710905202,3.12852349991434,6.21309083421729,2.57358135697364,-2.07250157920645
"82","Control","after",19,2017-12-05,3,40.4836969082504,21.340625,2681.532611678,0.301071459080744,0.202860006391411,30.4863290856592,597.536662254196,11.0251868407634,2.57866162082235,3.64439196257016,2.34877601836059,7.71271893012925,-1.25567081829271,-2.13363770143336,3.26207160089795,6.31393388114796,2.38004677299582,0.566320963180676
"83","Control","after",20,2017-12-20,3,31.3228081254724,5.64290778533634,3066.73111678004,0.283276836184952,0.0437434248113771,34.9737115419848,684.848733188134,11.0293674631294,0.456846093359902,3.40943988738285,1.10690341841335,7.88529933729422,-1.30929678458777,-3.44747392178973,3.43553817404817,6.47081990446153,2.39449598483365,-0.875735240424287
"84","Control","after",21,2018-01-03,3,28.5248343253968,10.6026470885973,3317.64173809523,0.247764789288614,0.110887498561466,37.991652942163,740.852929545529,10.6352983127557,2.02119887546661,3.34392507096526,1.79544180441663,8.00032963580997,-1.4007865016287,-2.8665461598279,3.54261174127265,6.56055262058849,2.32968516999689,-0.273067893301327
"85","Control","after",22,2018-01-18,3,18.2722662131519,13.2898939720332,3392.37732171201,0.200592584238449,0.189501298576732,38.653190853106,757.13374887711,8.10902344083572,3.96870070228601,2.78169127212098,2.53723959120473,8.01704382312868,-1.90421654865454,-1.71510716006341,3.55292050465935,6.58359532062577,1.98169522983307,1.3002818178759
"86","Control","after",23,2018-01-31,3,26.2757539246467,8.51348715768358,3623.28678968254,0.235199049902302,0.0801275942127974,41.0273843844107,791.415948480578,7.9213218251644,1.13250083836306,3.13139012304646,2.13663802252092,8.07452010895159,-1.66266444462087,-2.52586551000807,3.60385504438463,6.62240767935104,1.90979213668953,0.0983045592601045
"87","Control","after",24,2018-02-15,3,17.5528532501889,2.78272004913076,3844.8387876984,0.126459537011312,0.0249551297860428,42.9517091473714,814.448771346756,4.3007358373843,0.274370069178572,2.8513841442814,0.99602848873913,8.14128503288078,-2.0982782348529,-3.69110320920672,3.65487826827505,6.65141249942888,1.43940319482345,-1.29337425102323
"88","Control","after",25,2018-02-27,3,77.2381873015869,26.8217085034013,4349.00357568026,0.532123498965981,0.277691626966981,46.8169765154053,865.98610897862,19.2522368848804,4.17902170813615,4.11619167521224,3.19584354892184,8.246477134186,-0.92341929786062,-1.36670128811163,3.72605137007288,6.71230705840279,2.76811596274212,1.33526979583965
"89","Control","after",26,2018-03-16,3,25.1953613236961,9.5022867654006,4725.63736507935,0.211634623364301,0.0846046269738722,51.2222268637558,942.414046623327,8.40689869352693,1.08791905506751,2.51717529860869,1.57954031408641,8.30870072676793,-2.37689189009232,-3.35914421275946,3.79471289820383,6.7805694534966,1.39981284793428,-1.08823715381851
"90","Control","after",27,2018-04-04,3,69.5104387147714,23.3729190354713,5364.75130753967,0.540610577734457,0.207183390311331,58.403633368104,1075.83461957049,23.0909629525477,3.02214443536495,3.14038847912763,2.70080741479782,8.38787201133131,-2.03185128514032,-2.02205539255081,3.8794058431153,6.87591951014905,2.03506643711609,0.582171383727257
"91","Control","after",28,2018-04-18,3,114.276980442177,17.5598355604146,6715.14342205214,0.907655373241474,0.115726388191667,72.0116583281614,1276.53040737184,32.4326449031769,0.872443694667064,4.14813936227324,2.48665026839536,8.55973186851925,-0.65914190029669,-2.5055581140478,4.03586814772387,7.00272062190274,2.79021717465188,-0.422806115210739
"92","Control","after",29,2018-05-02,3,55.8235593011013,29.0260000607385,7078.99331887753,0.453398318229325,0.323141340606493,75.5111510097583,1329.45556200584,18.247130125036,5.99961789208203,3.58642364294503,2.5775803650604,8.61345166312481,-1.2536588900958,-1.75978291827356,4.07621634496307,7.02955962638926,2.28421469090492,1.23035386847018
"93","Control","after",30,2018-05-16,3,32.0163140792031,16.3867069363459,7297.80781887754,0.210595491065422,0.106882202686319,78.4351878206681,1394.06452770868,9.94753524538586,0.833804656390717,3.16187945714436,2.55788487180723,8.64048567788648,-1.98729033679638,-2.40108662121431,4.1027633453797,7.06056194071913,1.69404821329539,-0.269984995633408
"94","Control","after",31,2018-05-30,3,65.9400074505991,42.8084293002914,7621.64991298184,0.363838449228002,0.389248297576723,80.3326097850205,1408.66859432002,14.3615086770308,4.8823542793814,3.89869703437347,2.76698272539133,8.7036969828202,-1.28936180475284,-1.98765879323259,4.13994837427988,7.07672155152081,2.27093480615927,0.482525184968672
"95","Control","after",32,2018-06-14,3,79.6238145880574,26.2192598828419,8417.95387585032,0.428304383941884,0.239750978492862,85.7834655295541,1447.0337416516,16.1142390935412,3.70086112196129,3.63965844049648,2.58317467942455,8.77658627697936,-1.70263133580411,-2.15751699272682,4.18513332350172,7.09449949749206,1.82938130272833,0.372851674733497
