"tube","treatment","diam2","hurricane","session","depthbin.cm.","date","prodbybin","prodbybin.bystock","prod2mg.bin","mortbybin","stockbybin","dlenbybin","mortLengthbybin","lenbybin","prodSAbybin","morSAbybin","SAbybin","prodnewRMLbybin","prod2newRMLbybin","stocknewRMLbybin","mornewRMLbybin","binlength","tubelength","tubedepth","added"
"1","Control","Coarse","after","15","100-110","2017-09-21","0","0","0","0","23.872387188044","0","0","10.214996","0","0","89.1010412812","0","0","14.2427459993575","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","before","14","0-10","2017-08-22","0","0","0","0.059417662423677","1.6581948089583","0","2.986624","48.133572","0","2.4311283806535","46.2566466332103","0","0","1.40152810767869","0.0222008304078221","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","after","18","30-40","2017-11-22","0.64212168492763","0.64212168492763","0.64212168492763","0","1.68273460318248","27.634243","0","37.232828","24.1192434963019","0","42.2848231431475","0.244335419044431","0.652286642729076","0.703580225686731","0","12.0229007633588","132.3","110.04",NA
"1","Control","Coarse","before","3","100-110","2017-02-27","0","0","0","0","23.872387188044","0","0","10.214996","0","0","89.1010412812","0","0","6.77860892938675","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","before","9","90-100","2017-06-09","0","0","0","0","0.364044675016607","0","0","5.373245","0","0","7.82716997965762","0","0","0.270174557234706","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","before","2","20-30","2017-02-14","0","0","0","0","0.264481600283694","0","0","14.770779","0","0","11.3250851972582","0","0","0.288769074356197","0","12.0229007633588","132.3","110.04",NA
"1","Control","Fine","after","20","10-20","2017-12-20","1.47852662970789","1.47852662970789","1.47852662970789","0","1.47852662970789","2.289949","0","2.289949","10.531193683367","0","10.531193683367","0.777451245957991","0.600092139437196","0.777451245957991","0","12.0229007633588","132.3","110.04",NA
"1","Control","Coarse","before","10","100-110","2017-06-26","0","0","0","0","23.872387188044","0","0","10.214996","0","0","89.1010412812","0","0","6.77860892938675","0","12.0229007633588","132.3","110.04",NA
"1","Control","Fine","after","31","10-20","2018-05-30","0","0","0","0","1.47852662970789","0","0","2.289949","0","0","10.531193683367","0","0","0.777451245957991","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","before","13","20-30","2017-08-06","0","0","0","0","0.31923235696472","0","0","16.398024","0","0","12.8837729402004","0","0","0.335795363428129","0","12.0229007633588","132.3","110.04",NA
"1","Control","Fine","after","26","70-80","2018-03-16","0","0","0","0","6.33961120282898","0","0","9.594331","0","0","44.6338951059148","0","0","3.34112641396998","0","12.0229007633588","132.3","110.04",NA
"1","Control","Coarse","before","6","100-110","2017-04-13","0","0","0","0","23.872387188044","0","0","10.214996","0","0","89.1010412812","0","0","6.77860892938675","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","after","20","10-20","2017-12-20","1.71554201912386","1.71554201912386","1.71554201912386","0","3.11100412597248","26.185371","0","82.888441","33.7925662490584","0","82.4526942074553","0.753815636906688","1.19262959800537","1.29743001713386","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","before","5","70-80","2017-03-24","0","0","0","0.124236388184583","0.0846647681264496","0","7.113809","6.310241","0","5.42713355360111","4.22223885427169","0","0","0.100761931729919","0.0458296035384894","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","before","11","30-40","2017-07-11","0","0","0","0","1.04061291825485","0","0","9.598585","0","0","18.1655796468456","0","0","0.693236851627503","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","after","22","90-100","2018-01-18","0","0","0","0","0.242075151636456","0","0","2.024356","0","0","4.02270226674853","0","0","0.107866424519557","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","before","7","20-30","2017-05-06","0","0","0","0","0.282867203371593","0","0","16.398024","0","0","12.3072304059983","0","0","0.31140201529432","0","12.0229007633588","132.3","110.04",NA
"1","Control","Coarse","before","14","100-110","2017-08-22","0","0","0","0","23.872387188044","0","0","10.214996","0","0","89.1010412812","0","0","6.77860892938675","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","before","5","30-40","2017-03-24","0.845106807526608","0.845106807526608","0.845106807526608","0","0.845106807526608","7.795242","0","7.795242","14.7527046348431","0","14.7527046348431","0.562994339452584","0.562994339452584","0.562994339452584","0","12.0229007633588","132.3","110.04",NA
"1","Control","Finer","after","25","10-20","2018-02-27","0.748522645682921","0.748522645682921","0.748522645682921","0.334529007006031","9.89636323721005","25.957145","6.384377","284.270034","17.2204053057373","8.41456014741396","275.077378063867","0.301073190643668","0.66844636505076","4.07594820466934","0.137462396780633","12.0229007633588","132.3","110.04",NA
