"","treatment","depthbin.cm.","hurricane","diam2","prod2.g.m2.day.x","mort.g.m2.day.x","stock.g.m2.x","stock.newRMLg.m2.x","prod2.newRMLg.m2.day.x","mort.newRMLg.m2.day.x","prod2.g.m2.day.y","mort.g.m2.day.y","stock.g.m2.y","prod2.newRMLg.m2.day.y","mort.newRMLg.m2.day.y","stock.newRMLg.m2.y","depthbin.cm.2"
"130","Warming","40-50","after","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,45
"131","Warming","40-50","after","Fine",0,0,0,0,0,0,0,0,0,0,0,0,45
"132","Warming","40-50","after","Finer",0.0243040310856794,0,2.62605186235667,1.02168463683782,0.0223489941663225,0,0.0204117070263881,0,0.787150056707023,0.0187931903791491,0,0.309398827513209,45
"133","Warming","40-50","before","all",0.00200196516957357,0,1.76233652717151,2.02073385711108,0.00224519175825751,0,0.00148519731991765,0,0.297606057396564,0.00164475177009448,0,0.337139645575711,45
"134","Warming","40-50","before","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,45
"135","Warming","40-50","before","Fine",0,0,0,0,0,0,0,0,0,0,0,0,45
"136","Warming","40-50","before","Finer",0.00200196516957357,0,1.76233652717151,2.02073385711108,0.00224519175825751,0,0.00148519731991765,0,0.297606057396564,0.00164475177009448,0,0.337139645575711,45
"137","Warming","50-60","after","all",1.07638222410435,0.0405997790798088,110.053268414393,53.4974378975243,0.557930007177719,0.0168965377115444,0.793525977325634,0.0284504578887126,35.3727146562063,0.416261299985279,0.0118286714544111,17.1750070575654,55
"138","Warming","50-60","after","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,55
"139","Warming","50-60","after","Fine",0.351297900163852,0,59.7593297073545,30.0974960380493,0.145820032365726,0,0.233903720393365,0,19.8798558838649,0.0962550161757046,0,9.9818810846747,55
"140","Warming","50-60","after","Finer",0.725084323940502,0.0405997790798088,50.293938707039,23.399941859475,0.412109974811993,0.0168965377115444,0.625262977916593,0.0284504578887126,17.740578224397,0.339693550092185,0.0118286714544111,8.33291579877078,55
"141","Warming","50-60","before","all",0.212830230524955,0,40.0113447730158,19.0379841305806,0.090509625724987,0,0.0995002706469563,0,10.0139935343997,0.0405351466429819,0,4.75901075640066,55
"142","Warming","50-60","before","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,55
"143","Warming","50-60","before","Fine",0.19395432055797,0,35.8619321226172,15.4304535407013,0.0775870149192372,0,0.098898622025626,0,8.92081833079176,0.0396430114024825,0,3.82519777722404,55
"144","Warming","50-60","before","Finer",0.0188759099669849,0,4.14941265039856,3.60753058987936,0.0129226108057498,0,0.0132159401833965,0,1.17192491050761,0.0087079044896864,0,0.970297168857955,55
"145","Warming","60-70","after","all",0.914673686950178,0,71.05343989031,32.4332294002311,0.539333893452992,0,0.645149045637928,0,26.1673475385221,0.400491545243269,0,11.9877158965328,65
"146","Warming","60-70","after","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,65
"147","Warming","60-70","after","Fine",0.118245365080098,0,5.73201785222827,2.92362351021002,0.043829246927246,0,0.111616246913246,0,4.0265205160323,0.0409152722740593,0,2.05373227168836,65
"148","Warming","60-70","after","Finer",0.79642832187008,0,65.3214220380817,29.5096058900211,0.495504646525746,0,0.616515145303002,0,23.7168087820196,0.393415673501425,0,10.7168507495318,65
"149","Warming","60-70","before","all",-0.00431054982182983,0.131694084051374,14.9974249856757,9.13971228999791,0,0.0604408888068385,0.0028170756069297,0.131694084051373,4.92545246465845,0,0.0604408888068385,3.00170128155382,65
"150","Warming","60-70","before","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,65
"151","Warming","60-70","before","Fine",0,0,0,0,0,0,0,0,0,0,0,0,65
"152","Warming","60-70","before","Finer",-0.00431054982182983,0.131694084051374,14.9974249856757,9.13971228999791,0,0.0604408888068385,0.0028170756069297,0.131694084051373,4.92545246465845,0,0.0604408888068385,3.00170128155382,65
"153","Warming","70-80","after","all",0,0,0,0,0,0,0,0,0,0,0,0,95
"154","Warming","70-80","after","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,95
"155","Warming","70-80","after","Fine",0,0,0,0,0,0,0,0,0,0,0,0,95
"156","Warming","70-80","after","Finer",0,0,0,0,0,0,0,0,0,0,0,0,95
"157","Warming","70-80","before","all",0.00796920297388862,0,0.103599638660552,0.133794263973628,0.0102918664595098,0,0.00796920297388862,0,0.103599638660552,0.0102918664595098,0,0.133794263973628,95
"158","Warming","70-80","before","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,95
"159","Warming","70-80","before","Fine",0,0,0,0,0,0,0,0,0,0,0,0,95
"160","Warming","70-80","before","Finer",0.00796920297388862,0,0.103599638660552,0.133794263973628,0.0102918664595098,0,0.00796920297388862,0,0.103599638660552,0.0102918664595098,0,0.133794263973628,95
"161","Warming","80-90","after","all",0,0,0,0,0,0,0,0,0,0,0,0,NA
"162","Warming","80-90","after","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,NA
"163","Warming","80-90","after","Fine",0,0,0,0,0,0,0,0,0,0,0,0,NA
"164","Warming","80-90","after","Finer",0,0,0,0,0,0,0,0,0,0,0,0,NA
"165","Warming","80-90","before","all",0.025852982989478,0,0.361941761852692,0.305165959029279,0.0217975685020913,0,0.025852982989478,0,0.361941761852692,0.0217975685020913,0,0.305165959029279,NA
"166","Warming","80-90","before","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,NA
"167","Warming","80-90","before","Fine",0,0,0,0,0,0,0,0,0,0,0,0,NA
"168","Warming","80-90","before","Finer",0.025852982989478,0,0.361941761852692,0.305165959029279,0.0217975685020913,0,0.025852982989478,0,0.361941761852692,0.0217975685020913,0,0.305165959029279,NA
"169","Warming","90-100","after","all",0,0,0,0,0,0,0,0,0,0,0,0,NA
"170","Warming","90-100","after","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,NA
"171","Warming","90-100","after","Fine",0,0,0,0,0,0,0,0,0,0,0,0,NA
"172","Warming","90-100","after","Finer",0,0,0,0,0,0,0,0,0,0,0,0,NA
"173","Warming","90-100","before","all",0,0,0,0,0,0,0,0,0,0,0,0,NA
"174","Warming","90-100","before","Coarse",0,0,0,0,0,0,0,0,0,0,0,0,NA
"175","Warming","90-100","before","Fine",0,0,0,0,0,0,0,0,0,0,0,0,NA
"176","Warming","90-100","before","Finer",0,0,0,0,0,0,0,0,0,0,0,0,NA
